Rider,FTP (w),Weight (kg),W/KG,Height (m),Points (One day races),Points (GC),Points (Time trial),Points (Sprint),Points (Climber),Date of Birth,Tour de Frances participated in
Adam de Vos,390,70,5.57,1.87,235,66,53,228,112,21-Oct-93,
Alessandro De Marchi,399,66,6.05,1.81,1028,593,504,151,1941,19-May-86,"2020, 2017, 2014, 2013"
Alex Dowsett,400,79,5.06,1.82,98,682,3466,216,155,3-Oct-88,2019
Alexander Kristoff,430,81,5.31,1.83,10411,2154,299,9242,3834,5-Jul-87,"2023, 2022, 2020,2019, 2018, 2017, 2016, 2015, 2014, 2013"
Angel Madrazo,389,61,6.38,1.71,901,570,93,274,766,30-Jul-88,
Ben King,396,69,5.74,1.83,245,437,369,136,694,22-Mar-89,
Ben O’Connor,395,66,5.98,1.88,295,2307,346,46,2377,25-Nov-95,
Ben Swift,430,70,6.14,1.79,1858,897,87,2756,1660,5-Nov-87,"2017, 2011"
Boris Vallee,349,80,4.36,1.88,482,288,126,1069,31,3-Jun-93,
Bradley Wiggins,440,83,5.3,1.9,274,3525,6485,352,2266,28-Apr-80,"2012, 2010, 2009, 2006"
Bruno Armirail,407,70,5.81,1.9,114,527,1045,5,273,11-Apr-94,2021
Chris Hamilton,375,64,5.86,1.78,147,758,74,13,693,18-May-95,
Clement Venturini,302,60,5.03,1.65,1132,470,79,1242,1154,16-Oct-93,
Connor Dunne,470,88,5.34,2.04,70,53,23,149,22,22-Jan-92,
Connor Swift,400,77,5.19,1.9,634,553,294,181,368,30-Oct-95,"2022, 2021, 2020"
Damien Touze,395,68,5.81,1.74,642,196,17,308,262,7-Jul-96,
Daniel Oss,445,78,5.71,1.91,1297,735,423,1226,838,13-Jan-87,"2023, 2021, 2020, 2019, 2018, 2015, 2014, 2012, 2011, 2010"
Dimitri Claeys,417,77,5.42,1.91,1317,48,121,979,428,18-Jun-87,"2018, 2017"
Dion Smith,372,67,5.55,1.79,1082,759,71,796,1230,3-Mar-93,"2023, 2018, 2017"
Dorian Godon,396,73,5.42,1.9,1023,331,161,116,1049,25-May-96,2021
Dylan Sunderland,395,65,6.08,1.8,68,185,65,49,216,26-Feb-96,
Egan Bernal,383,59,6.5,1.75,892,3728,510,118,3900,13-Jan-97,"2023, 2019, 2018"
Emils Liepins,345,68,5.07,1.75,633,256,205,1420,121,29-Oct-92,
Florian Vermeersch,460,82,5.61,1.93,1027,484,314,428,218,12-Mar-99,"2023, 2022"
Frederik Backaert,389,77,5.05,1.88,534,398,10,461,112,13-Mar-90,"2019, 2017"
Gabriel Cullaigh,420,79,5.31,1.79,134,26,8,365,28,8-Apr-96,
Geoffrey Soupe,360,72,5,1.77,211,397,150,586,242,22-Mar-88,"2020, 2016, 2015"
George Bennett,350,58,6.03,1.8,767,3257,246,68,3248,7-Apr-90,"2020, 2019, 2016"
Grega Bole,380,68,5.59,1.77,1896,1222,198,2566,1349,13-Aug-85,"2017, 2011, 2010"
Guillaume Boivin,388,80,4.85,1.82,1260,442,152,1438,309,25-May-89,"2023, 2021"
Heinrich Haussler,391,72,5.43,1.81,3054,840,276,3798,884,25-Feb-84,"2018, 2009, 2008, 2007"
Jacob Tipper,365,78,4.68,1.83,10,14,30,179,13,2-Dec-91,
Jasha Sutterlin,382,79,4.84,1.84,340,667,1025,170,316,4-Nov-92,
Jens Voigt,412,78,5.28,1.9,1635,6043,5391,3952,1846,17-Sep-71,"2014, 2013, 2012, 2011, 2010, 2008, 2007, 2006, 2004, 2002, 2001, 2000, 1999, 1998"
Jetse Bol,320,70,4.57,1.84,434,519,145,684,438,8-Sep-89,
Kenny De Ketele,318,71,4.48,1.78,11,21,43,21,12,5-Jun-85,
Kevin Deltombe,346,67,5.16,1.78,230,86,6,166,152,27-Feb-94,
Koen de Kort,337,71,4.75,1.79,702,1002,403,765,420,8-Sep-82,"2019, 2018, 2017, 2015, 2014, 2013, 2012, 2009"
Lachlan Morton,330,63,5.24,1.8,50,798,132,112,638,2-Jan-92,
Lennard Hofstede,390,70,5.57,1.88,85,300,71,99,80,29-Dec-94,
Lluis Mas,376,71,5.3,1.81,208,388,293,302,256,15-Oct-89,
Logan Owen,336,67,5.02,1.78,30,142,0,345,33,25-Mar-95,
Lucas Eriksson,359,64,5.61,1.8,278,280,7,68,236,10-Apr-96,
Lukasz Wisniowski,406,78,5.21,1.91,560,291,307,316,158,7-Dec-91,2019
Magnus Backstedt,486,95,5.12,1.94,1441,627,1689,1736,318,30-Jan-75,"2000, 1998"
Mark Donovan,385,66,5.83,1.85,65,427,69,4,378,3-Apr-99,2021
Mathieu Burgaudeau,330,61,5.41,1.68,634,294,10,26,938,17-Nov-98,"2023, 2022, 2020"
Mathieu van der Poel,485,75,6.46,1.84,5529,984,906,1424,2474,19-Jan-95,2023
Matteo Dal-Cin,412,77,5.35,1.94,31,109,167,94,74,14-Jan-91,
Michael Matthews,393,70,5.61,1.78,6635,832,1642,3278,6724,26-Sep-90,"2022, 2021, 2019, 2017, 2016, 2015"
Michael Valgren,390,72,5.42,1.79,2742,1148,453,328,2020,7-Feb-92,"2021, 2020, 2019, 2018, 2017, 2016"
Michal Kwiatkowski,420,68,6.18,1.76,4549,3630,3505,731,5234,2-Jun-90,"2023, 2021, 2020, 2019, 2018, 2017, 2014, 2013"
Mikael Cherel,400,65,6.15,1.83,654,1318,1,466,992,17-Mar-86,"2020, 2019, 2016, 2015, 2014, 2012"
Mike Teunissen,375,72,5.21,1.84,1670,1295,329,1471,994,25-Aug-92,"2023, 2021, 2019, 2017"
Neilson Powless,295,66,4.47,1.83,1482,1479,726,280,1858,3-Sep-96,"2023, 2022, 2021, 2020"
Nicholas Roche,389,71,5.48,1.78,1345,3467,666,1202,5190,3-Jul-84,
Nils Eekhof,370,72,5.14,1.92,397,279,222,502,152,23-Jan-98,"2023, 2022, 2021"
Nils Politt,390,80,4.88,1.92,1652,975,1169,452,1034,6-Mar-94,"2023, 2022, 2021, 2020,2019, 2018, 2017"
Oliver Naesen,400,73,5.48,1.84,3942,1343,49,1252,1981,16-Sep-90,"2023, 2021, 2020, 2019, 2018, 2017, 2016"
Reinardt Janse van Rensburg,396,77,5.14,1.82,1268,892,458,2015,744,3-Feb-89,"2022, 2019, 2018, 2017, 2016, 2015"
Robert Gesink,410,70,5.86,1.9,2888,5157,1196,658,5821,31-May-86,"2020, 2018, 2015, 2013, 2011, 2010"
Romain Hardy,332,62,5.36,1.72,1225,797,15,964,1036,24-Aug-88,"2018, 2017"
Ryan Mullen,420,82,5.12,1.89,265,184,1145,35,46,7-Aug-94,
Sacha Modolo,380,67,5.67,1.8,1817,535,19,4966,1124,19-Jun-87,
Sam Welsford,357,80,4.46,1.8,476,180,78,815,25,19-Jan-96,2023
Scott Thwaites,390,70,5.57,1.78,780,199,1,688,212,12-Feb-90,2017
Sebastan Reichenbach,378,64,5.91,1.78,750,2001,123,237,2087,28-May-89,
Sepp Kuss,383,61,6.28,1.82,164,2187,300,42,3181,13-Sep-94,"2023, 2022, 2021, 2020"
Simon Geschke,360,63,5.71,1.71,1529,1374,660,634,2178,13-Mar-86,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2013, 2009"
Stijn Steels,400,78,5.13,1.82,326,42,37,327,45,21-Aug-89,
Tadej Pogačar,424,66,6.42,1.76,4063,5194,1837,226,7190,21-Sep-98,"2023, 2022, 2021, 2020"
Tejay van Garderen,425,72,5.9,1.86,147,5164,3409,414,3974,12-Aug-88,"2020, 2018, 2016, 2014, 2013, 2012, 2011"
Tim Declercq,400,78,5.13,1.9,725,457,26,420,110,21-Mar-89,"2023, 2021, 2020"
Timothy Dupont,363,71,5.11,1.79,3441,196,3,5192,183,1-Nov-87,2018
Tobias Ludvigsson,445,75,5.93,1.94,189,898,1938,138,366,22-Feb-91,2018
Tom Dumoulin,431,69,6.25,1.85,1147,4380,6256,302,4526,11-Nov-90,"2020, 2018, 2014, 2013"
Tom van Asbroeck,371,72,5.15,1.82,2721,507,20,3282,571,19-Apr-90,2020
Tosh van der Sande,361,64,5.64,1.78,878,759,1,1074,1248,28-Nov-90,
Travis McCabe,380,70,5.43,1.8,154,117,86,1668,181,12-May-89,
Victor Campenaerts,394,69,5.71,1.73,715,886,3060,330,681,28-Oct-91,2023
Will Clarke,471,81,5.81,1.92,86,176,678,407,14,11-Apr-85,
Willie Smit,379,72,5.26,1.8,194,166,193,196,76,29-Dec-92,
Wout van Aert,460,78,5.9,1.9,6550,1091,2586,1882,4093,15-Sep-94,"2022, 2021, 2020"